Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23.0,HOU,NBA,PF,58.0,,18.5,2.2,4.3,0.512,0.8,1.3,0.635,1.4,2.9,4.3,1.3,0.6,0.3,,2.8,5.2
1974-75,24.0,NOJ,NBA,PF,77.0,,28.3,3.3,7.4,0.445,1.5,2.2,0.699,2.5,4.7,7.1,1.4,1.1,0.5,,3.6,8.1
1975-76,25.0,NOJ,NBA,PF,67.0,,27.6,3.2,7.1,0.451,0.9,1.3,0.663,1.9,4.4,6.3,1.3,0.8,0.4,,3.4,7.3
1976-77,26.0,NOJ,NBA,PF,77.0,,30.8,3.8,8.2,0.462,1.1,1.5,0.732,1.9,5.2,7.1,1.3,0.8,0.4,,3.6,8.6
1977-78,27.0,GSW,NBA,PF,72.0,,25.0,2.9,6.2,0.475,0.6,0.8,0.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4
1978-79,28.0,HOU,NBA,PF,6.0,,6.5,0.8,1.2,0.714,0.2,0.2,1.0,0.2,1.0,1.2,0.2,0.3,0.0,0.0,1.8,1.8
Career,,,NBA,,357.0,,26.1,3.1,6.7,0.464,1.0,1.4,0.694,1.9,4.2,6.0,1.3,0.9,0.4,1.2,3.4,7.2
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOJ,NBA,,221.0,,28.9,3.4,7.6,0.453,1.2,1.7,0.7,2.1,4.8,6.9,1.3,0.9,0.4,,3.5,8.0
1 season,,GSW,NBA,,72.0,,25.0,2.9,6.2,0.475,0.6,0.8,0.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4
2 seasons,,HOU,NBA,,64.0,,17.4,2.1,4.0,0.518,0.8,1.2,0.64,1.3,2.8,4.0,1.2,0.6,0.3,0.0,2.7,4.9
